name,latitude,longitude,weight,type
537,41.89392,-87.7451,652,potential
538,41.89892,-87.7451,695,potential
539,41.90392,-87.7451,890,potential
540,41.90892,-87.7451,933,potential
541,41.91392,-87.7451,875,potential
542,41.91892,-87.7451,1012,potential
543,41.92392,-87.7451,1056,potential
544,41.92892,-87.7451,1085,potential
545,41.93392,-87.7451,1087,potential
546,41.93892,-87.7451,1009,potential
547,41.94392,-87.7451,1117,potential
548,41.94892,-87.7451,1038,potential
549,41.95392,-87.7451,1027,potential
550,41.95892,-87.7451,939,potential
551,41.96392,-87.7451,970,potential
552,41.96892,-87.7451,1021,potential
553,41.97392,-87.7451,1126,potential
554,41.97892,-87.7451,1176,potential
555,41.98392,-87.7451,1314,potential
556,41.98892,-87.7451,1251,potential
557,41.99392,-87.7451,1226,potential
558,41.73892,-87.7401,1445,potential
559,41.74392,-87.7401,1405,potential
560,41.74892,-87.7401,1389,potential
561,41.75392,-87.7401,1288,potential
562,41.75892,-87.7401,1205,potential
563,41.76392,-87.7401,1151,potential
564,41.76892,-87.7401,1264,potential
565,41.77392,-87.7401,1127,potential
566,41.77892,-87.7401,1085,potential
567,41.78392,-87.7401,1049,potential
568,41.78892,-87.7401,1043,potential
569,41.79392,-87.7401,910,potential
570,41.79892,-87.7401,839,potential
571,41.80392,-87.7401,797,potential
572,41.80892,-87.7401,718,potential
573,41.81392,-87.7401,654,potential
574,41.81892,-87.7401,630,potential
575,41.86892,-87.7401,373,potential
576,41.87392,-87.7401,409,potential
577,41.87892,-87.7401,440,potential
578,41.88392,-87.7401,508,potential
579,41.88892,-87.7401,545,potential
580,41.89392,-87.7401,586,potential
581,41.89892,-87.7401,778,potential
582,41.90392,-87.7401,742,potential
583,41.90892,-87.7401,893,potential
584,41.91392,-87.7401,921,potential
585,41.91892,-87.7401,1051,potential
586,41.92392,-87.7401,989,potential
587,41.92892,-87.7401,1071,potential
588,41.93392,-87.7401,1043,potential
589,41.93892,-87.7401,970,potential
590,41.94392,-87.7401,1054,potential
591,41.94892,-87.7401,991,potential
592,41.95392,-87.7401,931,potential
593,41.95892,-87.7401,764,potential
594,41.96392,-87.7401,978,potential
595,41.96892,-87.7401,1151,potential
596,41.97392,-87.7401,1124,potential
597,41.97892,-87.7401,1377,potential
598,41.98392,-87.7401,1317,potential
599,41.98892,-87.7401,1325,potential
600,41.99392,-87.7401,1164,potential
601,41.68392,-87.7351,1468,potential
602,41.68892,-87.7351,1580,potential
603,41.73892,-87.7351,1488,potential
604,41.74392,-87.7351,1466,potential
605,41.74892,-87.7351,1404,potential
606,41.75392,-87.7351,1342,potential
607,41.75892,-87.7351,1349,potential
608,41.76392,-87.7351,1233,potential
609,41.76892,-87.7351,1225,potential
610,41.77392,-87.7351,1178,potential
611,41.77892,-87.7351,1124,potential
