,"  <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6135662,41.8024886,0</coordinates></Point></Placemark>",,,
132,"2000 W. 70th Pl. Chicago, IL",41.765974,-87.673715," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.673715,41.765974,0</coordinates></Point></Placemark>"
133,"4700 S. Talman Ave. Chicago, IL",41.8083122,-87.6905491," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6905491,41.8083122,0</coordinates></Point></Placemark>"
134,"3300 W. 60th St. Chicago, IL",41.7843842,-87.7057128," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7057128,41.7843842,0</coordinates></Point></Placemark>"
135,"6400 S. Normal Ave. Chicago, IL",41.772577,-87.6373503," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6373503,41.772577,0</coordinates></Point></Placemark>"
136,"5500 W. Quincy St. Chicago, IL",41.8774778,-87.7617614," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7617614,41.8774778,0</coordinates></Point></Placemark>"
137,"2500 S. Ridgeway Ave. Chicago, IL",41.8460449,-87.718849," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.718849,41.8460449,0</coordinates></Point></Placemark>"
138,"900 E. 79th St. Chicago, IL",41.7513121,-87.6027422," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6027422,41.7513121,0</coordinates></Point></Placemark>"
139,"4100 W. North Ave. Chicago, IL",41.910165,-87.728948," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.728948,41.910165,0</coordinates></Point></Placemark>"
140,"7400 S. Parnell Ave. Chicago, IL",41.7598152,-87.6384967," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6384967,41.7598152,0</coordinates></Point></Placemark>"
141,"200 S. Keeler Ave. Chicago, IL",41.8779027,-87.7304789," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7304789,41.8779027,0</coordinates></Point></Placemark>"
142,"3100 S. Pulaski Rd. Chicago, IL",41.8368591,-87.7243688," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.7243688,41.8368591,0</coordinates></Point></Placemark>"
